42.27,43.69,45.14,46.62,48.12,49.63,51.15,52.69,54.24,55.83,57.46,59.15,60.9,62.72,64.62,66.59,68.59,70.69,72.85,75.1,77.41,79.8,82.26,84.8,87.43,90.15,92.98,95.92,98.95,102.09,105.33,108.66,112.09,115.62,119.23,122.95,126.76,130.67,134.67,138.77,142.97,147.27,151.66,156.15,160.73,165.41,170.17,175.01,179.94,184.94,190.01,195.14,200.33,205.56,210.83,216.12,221.42,226.72,232.02,237.29,242.53,247.72,252.85,257.91,262.88,267.76,272.53,277.19,281.73,286.14,290.42,294.57,298.58,302.46,306.2,309.81,313.3,316.67,319.93,323.11,326.23,330.26,334.1
51.95,53.68,55.44,57.23,59.02,60.83,62.66,64.52,66.41,68.36,70.37,72.45,74.63,76.88,79.22,81.64,84.1,86.68,89.35,92.1,94.94,97.87,100.89,104.01,107.25,110.62,114.1,117.72,121.46,125.31,129.28,133.36,137.55,141.86,146.29,150.83,155.48,160.25,165.14,170.14,175.26,180.49,185.84,191.31,196.87,202.55,208.33,214.2,220.17,226.22,232.35,238.54,244.79,251.09,257.41,263.75,270.1,276.43,282.74,289.01,295.22,301.36,307.41,313.37,319.21,324.92,330.5,335.94,341.22,346.35,351.32,356.12,360.75,365.23,369.54,373.7,377.72,381.61,385.39,389.08,392.74,397.31,401.71
62.22,64.26,66.33,68.42,70.52,72.64,74.79,76.99,79.25,81.59,84.01,86.53,89.15,91.86,94.66,97.55,100.51,103.6,106.79,110.08,113.48,116.98,120.6,124.35,128.26,132.3,136.49,140.82,145.29,149.9,154.63,159.5,164.49,169.63,174.89,180.29,185.83,191.5,197.31,203.25,209.33,215.53,221.87,228.34,234.94,241.65,248.48,255.41,262.44,269.56,276.76,284.03,291.35,298.71,306.09,313.47,320.85,328.19,335.49,342.73,349.88,356.93,363.87,370.68,377.34,383.85,390.18,396.34,402.32,408.11,413.7,419.11,424.32,429.34,434.19,438.86,443.38,447.76,452.05,456.27,460.52,465.62,470.66
73.08,75.44,77.81,80.2,82.61,85.07,87.57,90.15,92.8,95.57,98.43,101.41,104.49,107.68,110.96,114.36,117.85,121.48,125.22,129.08,133.06,137.18,141.45,145.88,150.49,155.25,160.18,165.27,170.51,175.89,181.43,187.12,192.96,198.95,205.1,211.4,217.85,224.46,231.22,238.14,245.21,252.43,259.79,267.3,274.95,282.72,290.62,298.63,306.74,314.94,323.23,331.57,339.96,348.37,356.8,365.21,373.59,381.92,390.17,398.34,406.39,414.31,422.08,429.68,437.11,444.35,451.38,458.21,464.82,471.21,477.38,483.34,489.07,494.6,499.94,505.09,510.09,514.97,519.78,524.59,529.53,535.26,541.13
84.54,87.2,89.88,92.59,95.34,98.15,101.03,104.02,107.11,110.33,113.66,117.12,120.69,124.37,128.17,132.1,136.16,140.35,144.68,149.14,153.75,158.54,163.51,168.67,174.01,179.53,185.23,191.1,197.14,203.34,209.72,216.27,222.99,229.88,236.94,244.18,251.59,259.18,266.93,274.85,282.95,291.21,299.62,308.19,316.92,325.77,334.76,343.86,353.06,362.35,371.71,381.12,390.57,400.02,409.46,418.87,428.22,437.49,446.65,455.69,464.58,473.31,481.85,490.19,498.32,506.23,513.9,521.32,528.5,535.44,542.12,548.57,554.78,560.78,566.56,572.18,577.66,583.05,588.45,593.98,599.86,606.44,614.3
96.59,99.56,102.56,105.6,108.71,111.91,115.22,118.65,122.21,125.9,129.73,133.69,137.76,141.98,146.33,150.82,155.47,160.26,165.2,170.31,175.61,181.12,186.83,192.75,198.87,205.18,211.68,218.37,225.24,232.31,239.56,247,254.63,262.46,270.48,278.69,287.09,295.68,304.45,313.42,322.57,331.89,341.39,351.04,360.86,370.81,380.89,391.08,401.37,411.74,422.17,432.63,443.1,453.56,463.98,474.33,484.6,494.75,504.76,514.61,524.28,533.74,542.98,551.99,560.74,569.24,577.46,585.42,593.1,600.51,607.65,614.53,621.17,627.58,633.8,639.86,645.84,651.82,657.95,664.46,671.75,680.45,691.75
109.24,112.53,115.87,119.28,122.79,126.42,130.18,134.09,138.14,142.34,146.68,151.16,155.78,160.56,165.48,170.58,175.84,181.26,186.87,192.69,198.73,205,211.49,218.2,225.13,232.26,239.6,247.14,254.89,262.85,271.02,279.39,287.98,296.77,305.78,315,324.42,334.05,343.89,353.93,364.16,374.58,385.17,395.94,406.86,417.92,429.11,440.4,451.77,463.21,474.69,486.18,497.65,509.09,520.45,531.71,542.85,553.84,564.65,575.25,585.63,595.77,605.65,615.26,624.58,633.61,642.33,650.76,658.89,666.72,674.28,681.56,688.59,695.42,702.07,708.63,715.19,721.92,729.06,737.05,746.61,759,776.57
122.5,126.14,129.85,133.67,137.62,141.72,145.97,150.39,154.96,159.68,164.55,169.58,174.78,180.14,185.7,191.42,197.32,203.42,209.76,216.34,223.16,230.23,237.54,245.08,252.84,260.83,269.04,277.48,286.14,295.03,304.15,313.49,323.07,332.88,342.91,353.17,363.65,374.36,385.29,396.42,407.77,419.3,431.02,442.91,454.95,467.13,479.42,491.8,504.26,516.75,529.26,541.75,554.2,566.57,578.83,590.95,602.91,614.68,626.22,637.53,648.56,659.32,669.78,679.92,689.75,699.25,708.42,717.27,725.8,734.02,741.95,749.61,757.04,764.28,771.42,778.56,785.88,793.67,802.36,812.76,826.26,845.38,1000
136.41,140.42,144.55,148.82,153.25,157.85,162.63,167.57,172.68,177.94,183.39,189.01,194.81,200.81,207,213.38,219.98,226.83,233.95,241.32,248.97,256.87,265.03,273.42,282.06,290.94,300.06,309.43,319.04,328.9,339.01,349.37,359.97,370.82,381.92,393.25,404.83,416.65,428.69,440.96,453.43,466.11,478.96,491.98,505.15,518.44,531.83,545.3,558.81,572.34,585.85,599.31,612.68,625.94,639.05,651.99,664.71,677.19,689.42,701.35,712.98,724.29,735.27,745.89,756.17,766.09,775.65,784.88,793.77,802.34,810.62,818.66,826.49,834.21,841.93,849.85,858.27,867.67,878.92,893.51,914.19,1000,1000
150.99,155.43,160.02,164.79,169.73,174.87,180.18,185.67,191.34,197.19,203.24,209.47,215.93,222.58,229.44,236.54,243.91,251.55,259.49,267.71,276.2,284.98,294,303.29,312.84,322.65,332.72,343.06,353.66,364.53,375.66,387.07,398.73,410.66,422.85,435.31,448.01,460.96,474.15,487.56,501.19,515.01,529.01,543.17,557.46,571.86,586.34,600.87,615.41,629.94,644.41,658.8,673.06,687.15,701.06,714.74,728.17,741.31,754.14,766.65,778.81,790.61,802.03,813.08,823.75,834.04,843.95,853.51,862.73,871.64,880.28,888.7,897,905.31,913.82,922.87,932.98,945.07,960.76,983,1000,1000,1000
