13.51,14.23,14.87,15.45,15.99,16.49,16.95,17.39,17.81,18.23,18.66,19.12,19.61,20.17,20.79,21.49,22.28,23.15,24.08,25.09,26.16,27.26,28.38,29.52,30.69,31.9,33.18,34.53,35.94,37.41,38.97,40.57,42.23,43.97,45.76,47.62,49.53,51.52,53.56,55.68,57.88,60.17,62.55,65.02,67.59,70.27,73.05,75.94,78.94,82.06,85.28,88.63,92.08,95.64,99.32,103.09,106.96,110.93,114.98,119.11,123.32,127.58,131.9,136.25,140.64,145.04,149.45,153.86,158.25,162.62,166.95,171.25,175.51,179.74,183.95,188.15,192.34,196.55,200.81
17.89,18.81,19.6,20.33,20.99,21.6,22.19,22.75,23.3,23.87,24.48,25.12,25.82,26.59,27.43,28.36,29.42,30.55,31.78,33.1,34.48,35.91,37.38,38.87,40.42,42.04,43.74,45.52,47.38,49.32,51.34,53.43,55.61,57.87,60.2,62.61,65.11,67.69,70.36,73.12,75.98,78.95,82.04,85.25,88.59,92.05,95.65,99.38,103.25,107.26,111.41,115.69,120.1,124.64,129.32,134.1,138.99,143.99,149.09,154.26,159.51,164.81,170.16,175.54,180.93,186.34,191.74,197.11,202.46,207.77,213.03,218.23,223.38,228.49,233.58,238.66,243.74,248.87,254.11
22.92,24.02,24.98,25.84,26.64,27.39,28.1,28.82,29.55,30.31,31.12,31.99,32.92,33.93,35.02,36.23,37.58,39.03,40.58,42.25,43.99,45.79,47.66,49.57,51.57,53.65,55.83,58.1,60.45,62.91,65.46,68.1,70.84,73.69,76.63,79.67,82.82,86.07,89.43,92.9,96.51,100.24,104.12,108.15,112.33,116.67,121.17,125.82,130.64,135.62,140.76,146.05,151.5,157.08,162.81,168.66,174.63,180.7,186.88,193.12,199.43,205.78,212.17,218.58,224.98,231.38,237.75,244.08,250.36,256.59,262.74,268.82,274.84,280.83,286.79,292.74,298.74,304.85,311.16
28.58,29.88,30.99,32.01,32.95,33.85,34.74,35.64,36.58,37.57,38.63,39.76,40.95,42.24,43.61,45.12,46.81,48.61,50.53,52.58,54.72,56.96,59.29,61.69,64.19,66.78,69.49,72.31,75.22,78.24,81.39,84.64,88.01,91.51,95.12,98.86,102.72,106.71,110.83,115.09,119.51,124.09,128.84,133.76,138.87,144.15,149.62,155.27,161.11,167.13,173.32,179.69,186.21,192.89,199.72,206.66,213.73,220.9,228.15,235.47,242.83,250.23,257.64,265.04,272.43,279.78,287.09,294.33,301.5,308.6,315.6,322.52,329.38,336.2,343.02,349.87,356.82,363.98,371.54
34.9,36.38,37.66,38.84,39.95,41.03,42.13,43.26,44.46,45.71,47.05,48.47,49.95,51.53,53.23,55.08,57.16,59.35,61.67,64.15,66.75,69.49,72.34,75.29,78.34,81.51,84.81,88.21,91.73,95.38,99.18,103.09,107.16,111.37,115.72,120.22,124.87,129.67,134.62,139.74,145.05,150.54,156.22,162.11,168.21,174.51,181.02,187.72,194.63,201.74,209.03,216.52,224.15,231.95,239.89,247.95,256.11,264.37,272.68,281.05,289.43,297.83,306.21,314.56,322.86,331.11,339.28,347.37,355.36,363.25,371.04,378.74,386.38,394.01,401.66,409.41,417.39,425.77,434.85
41.85,43.53,44.99,46.35,47.66,48.97,50.32,51.72,53.21,54.76,56.41,58.14,59.94,61.87,63.93,66.16,68.67,71.27,74.05,77.02,80.15,83.45,86.89,90.44,94.1,97.89,101.81,105.86,110.04,114.37,118.89,123.53,128.34,133.34,138.49,143.82,149.31,154.98,160.84,166.89,173.15,179.62,186.31,193.23,200.37,207.74,215.34,223.14,231.17,239.41,247.83,256.44,265.2,274.12,283.16,292.31,301.54,310.84,320.18,329.53,338.88,348.2,357.48,366.69,375.81,384.86,393.79,402.61,411.32,419.91,428.39,436.78,445.12,453.49,461.96,470.65,479.76,489.62,500.73
49.46,51.35,53.01,54.59,56.15,57.73,59.37,61.08,62.89,64.77,66.77,68.83,70.99,73.31,75.76,78.43,81.39,84.46,87.76,91.3,95.02,98.94,103.02,107.21,111.54,115.99,120.6,125.34,130.25,135.33,140.61,146.04,151.68,157.52,163.54,169.75,176.17,182.79,189.62,196.66,203.94,211.46,219.22,227.23,235.49,243.98,252.72,261.68,270.87,280.27,289.85,299.61,309.51,319.55,329.7,339.93,350.22,360.54,370.87,381.18,391.45,401.66,411.78,421.8,431.71,441.49,451.14,460.65,470.04,479.29,488.43,497.5,506.56,515.72,525.11,534.93,545.54,557.46,571.62
57.74,59.85,61.76,63.61,65.46,67.36,69.33,71.39,73.55,75.79,78.15,80.6,83.16,85.89,88.81,91.93,95.39,99,102.88,107.05,111.43,116.03,120.79,125.69,130.71,135.88,141.22,146.73,152.42,158.31,164.42,170.71,177.22,183.97,190.93,198.1,205.5,213.14,221.01,229.12,237.49,246.12,255.01,264.17,273.59,283.27,293.19,303.34,313.72,324.31,335.06,345.99,357.03,368.19,379.44,390.73,402.04,413.35,424.64,435.86,447,458.04,468.96,479.74,490.36,500.84,511.16,521.32,531.33,541.22,551.01,560.78,570.62,580.68,591.2,602.52,615.22,630.27,649.31
66.7,69.1,71.29,73.46,75.65,77.91,80.25,82.68,85.23,87.85,90.61,93.49,96.49,99.7,103.09,106.73,110.75,114.98,119.51,124.37,129.46,134.77,140.28,145.91,151.68,157.63,163.77,170.09,176.62,183.37,190.38,197.59,205.06,212.78,220.73,228.93,237.39,246.11,255.08,264.32,273.84,283.64,293.72,304.08,314.71,325.61,336.75,348.12,359.72,371.49,383.43,395.52,407.69,419.95,432.26,444.58,456.88,469.14,481.33,493.41,505.37,517.18,528.84,540.32,551.61,562.73,573.67,584.43,595.06,605.58,616.04,626.55,637.28,648.47,660.49,673.94,689.83,709.89,737.12
76.42,79.13,81.67,84.2,86.77,89.43,92.16,95,97.94,101,104.21,107.54,111.05,114.76,118.67,122.89,127.56,132.47,137.72,143.31,149.15,155.25,161.52,167.94,174.52,181.3,188.29,195.49,202.92,210.61,218.57,226.77,235.24,244,253.02,262.32,271.89,281.75,291.89,302.32,313.04,324.07,335.38,346.99,358.86,371.01,383.4,396,408.81,421.79,434.89,448.12,461.4,474.73,488.07,501.37,514.61,527.76,540.8,553.68,566.39,578.92,591.25,603.37,615.28,626.99,638.51,649.86,661.08,672.25,683.44,694.83,706.67,719.36,733.53,750.23,771.25,799.72,841.36
