185.67,191.34,197.19,203.24,209.47,215.93,222.58,229.44,236.54,243.91,251.56,259.49,267.71,276.2,284.98,294,303.29,312.84,322.65,332.72,343.06,353.66,364.53,375.66,387.07,398.73,410.66,422.85,435.31,448.01,460.96,474.15,487.56,501.19,515.01,529.01,543.17,557.46,571.86,586.34,600.87,615.41,629.94,644.41,658.8,673.06,687.15,701.06,714.74,728.17,741.31,754.14,766.65,778.81,790.61,802.03,813.08,823.75,834.04,843.95,853.51,862.73,871.64,880.28,888.7,897,905.31,913.82,922.87,932.98,945.07,960.76,983,1000,1000,1000,1000,1000,1000,1000,1000
191.34,197.19,203.24,209.47,215.93,222.58,229.44,236.54,243.91,251.56,259.49,267.71,276.2,284.98,294,303.29,312.84,322.65,332.72,343.06,353.66,364.53,375.66,387.07,398.73,410.66,422.85,435.31,448.01,460.96,474.15,487.56,501.19,515.01,529.01,543.17,557.46,571.86,586.34,600.87,615.41,629.94,644.41,658.8,673.06,687.15,701.06,714.74,728.17,741.31,754.14,766.65,778.81,790.61,802.03,813.08,823.75,834.04,843.95,853.51,862.73,871.64,880.28,888.7,897,905.31,913.82,922.87,932.98,945.07,960.76,983,1000,1000,1000,1000,1000,1000,1000,1000,1000
197.19,203.24,209.47,215.93,222.58,229.44,236.54,243.91,251.56,259.49,267.71,276.2,284.98,294,303.29,312.84,322.65,332.72,343.06,353.66,364.53,375.66,387.07,398.73,410.66,422.85,435.31,448.01,460.96,474.15,487.56,501.19,515.01,529.01,543.17,557.46,571.86,586.34,600.87,615.42,629.94,644.41,658.8,673.06,687.15,701.06,714.74,728.17,741.31,754.14,766.65,778.81,790.61,802.03,813.08,823.75,834.04,843.95,853.51,862.73,871.64,880.28,888.7,897,905.31,913.82,922.87,932.98,945.07,960.76,983,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
203.24,209.47,215.93,222.58,229.44,236.54,243.91,251.56,259.49,267.71,276.2,284.98,294,303.29,312.84,322.65,332.72,343.06,353.66,364.53,375.66,387.07,398.73,410.66,422.85,435.31,448.01,460.96,474.15,487.56,501.19,515.01,529.01,543.17,557.46,571.86,586.34,600.87,615.41,629.94,644.41,658.8,673.06,687.15,701.06,714.74,728.17,741.31,754.14,766.65,778.81,790.61,802.03,813.08,823.75,834.04,843.95,853.51,862.73,871.64,880.28,888.7,897,905.31,913.82,922.87,932.98,945.07,960.76,983,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
209.47,215.93,222.58,229.44,236.54,243.91,251.56,259.49,267.71,276.2,284.98,294,303.29,312.84,322.65,332.72,343.06,353.66,364.53,375.66,387.07,398.73,410.66,422.85,435.31,448.01,460.96,474.15,487.56,501.19,515.01,529.01,543.17,557.46,571.86,586.35,600.87,615.41,629.94,644.41,658.8,673.06,687.15,701.06,714.74,728.17,741.31,754.14,766.65,778.81,790.61,802.03,813.08,823.75,834.04,843.95,853.51,862.73,871.64,880.28,888.7,897,905.31,913.82,922.87,932.98,945.07,960.76,983,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
215.93,222.58,229.44,236.54,243.91,251.56,259.49,267.71,276.2,284.98,294,303.29,312.84,322.65,332.72,343.06,353.66,364.53,375.66,387.07,398.73,410.66,422.85,435.31,448.01,460.96,474.15,487.56,501.19,515.01,529.01,543.17,557.46,571.86,586.35,600.87,615.42,629.94,644.41,658.8,673.06,687.15,701.06,714.74,728.17,741.31,754.14,766.65,778.81,790.61,802.03,813.08,823.75,834.04,843.95,853.51,862.73,871.64,880.28,888.7,897,905.31,913.82,922.87,932.98,945.07,960.76,983,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
222.58,229.44,236.54,243.91,251.56,259.49,267.71,276.2,284.98,294,303.29,312.84,322.65,332.72,343.06,353.66,364.53,375.66,387.07,398.73,410.66,422.85,435.31,448.01,460.96,474.15,487.56,501.19,515.01,529.01,543.17,557.46,571.86,586.34,600.87,615.42,629.94,644.41,658.8,673.06,687.15,701.06,714.74,728.17,741.31,754.14,766.65,778.81,790.61,802.03,813.08,823.75,834.04,843.95,853.51,862.73,871.64,880.28,888.7,897,905.31,913.82,922.87,932.98,945.07,960.76,983,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
229.44,236.54,243.91,251.56,259.49,267.71,276.2,284.98,294,303.29,312.84,322.65,332.72,343.06,353.66,364.53,375.66,387.07,398.73,410.66,422.85,435.31,448.01,460.96,474.15,487.56,501.19,515.01,529.01,543.17,557.46,571.86,586.34,600.87,615.42,629.94,644.41,658.8,673.06,687.15,701.06,714.74,728.17,741.31,754.14,766.65,778.81,790.61,802.03,813.08,823.75,834.04,843.95,853.51,862.73,871.64,880.28,888.7,897,905.31,913.82,922.87,932.98,945.07,960.76,983,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
236.54,243.91,251.56,259.49,267.71,276.2,284.98,294,303.29,312.84,322.65,332.72,343.06,353.66,364.53,375.66,387.07,398.73,410.66,422.85,435.31,448.01,460.96,474.15,487.56,501.19,515.01,529.01,543.17,557.46,571.86,586.34,600.87,615.41,629.94,644.41,658.8,673.06,687.15,701.06,714.74,728.17,741.31,754.14,766.65,778.81,790.61,802.03,813.08,823.75,834.04,843.95,853.51,862.73,871.64,880.28,888.7,897,905.31,913.82,922.87,932.98,945.07,960.76,983,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
243.91,251.56,259.49,267.71,276.2,284.98,294,303.29,312.84,322.65,332.72,343.06,353.66,364.53,375.66,387.07,398.73,410.66,422.85,435.31,448.01,460.96,474.15,487.56,501.19,515.01,529.01,543.17,557.46,571.86,586.34,600.87,615.42,629.94,644.41,658.8,673.06,687.15,701.06,714.74,728.17,741.31,754.15,766.65,778.81,790.61,802.03,813.08,823.75,834.04,843.95,853.51,862.73,871.64,880.28,888.7,897,905.31,913.82,922.87,932.98,945.08,960.76,983,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
