127.04,131.16,135.41,139.83,144.41,149.18,154.11,159.21,164.44,169.8,175.31,180.98,186.91,193.05,199.39,205.94,212.69,219.67,226.86,234.26,241.87,249.68,257.71,265.98,274.49,283.25,292.27,301.56,311.11,320.94,331.05,341.43,352.09,363.04,374.28,385.79,397.59,409.67,422.01,434.63,447.52,460.65,474.02,487.62,501.44,515.46,529.67,544.04,558.55,573.19,587.91,602.71,617.55,632.4,647.24,662.02,676.73,691.33,705.8,720.09,734.18,748.04,761.66,775,788.05,800.78,813.2,825.29,837.06,848.52,859.71,870.67,881.49,892.29,903.28,914.76,927.27,941.64,959.35,983,1000,1000,1000,1000
131.16,135.41,139.83,144.41,149.18,154.11,159.21,164.44,169.8,175.31,180.98,186.91,193.05,199.39,205.94,212.69,219.67,226.86,234.26,241.87,249.68,257.71,265.98,274.49,283.25,292.27,301.56,311.11,320.94,331.05,341.43,352.09,363.04,374.28,385.79,397.59,409.67,422.01,434.63,447.52,460.65,474.02,487.62,501.44,515.46,529.67,544.04,558.56,573.19,587.91,602.71,617.55,632.4,647.23,662.02,676.73,691.33,705.79,720.09,734.18,748.04,761.66,775,788.05,800.78,813.2,825.29,837.06,848.52,859.71,870.67,881.49,892.29,903.28,914.76,927.27,941.64,959.35,983,1000,1000,1000,1000,1000
135.41,139.83,144.41,149.18,154.11,159.21,164.44,169.8,175.31,180.98,186.91,193.05,199.39,205.94,212.69,219.67,226.86,234.26,241.87,249.68,257.71,265.98,274.49,283.25,292.27,301.56,311.11,320.94,331.05,341.43,352.1,363.04,374.28,385.79,397.59,409.67,422.02,434.64,447.52,460.65,474.02,487.62,501.44,515.47,529.67,544.04,558.55,573.19,587.91,602.71,617.55,632.4,647.23,662.02,676.73,691.33,705.8,720.09,734.18,748.04,761.66,775,788.05,800.78,813.2,825.29,837.06,848.52,859.71,870.67,881.49,892.29,903.28,914.77,927.27,941.64,959.35,983,1000,1000,1000,1000,1000,1000
139.83,144.41,149.18,154.11,159.21,164.44,169.8,175.31,180.98,186.91,193.05,199.39,205.94,212.69,219.67,226.86,234.26,241.87,249.68,257.71,265.98,274.49,283.25,292.27,301.56,311.11,320.94,331.05,341.43,352.09,363.04,374.28,385.79,397.59,409.66,422.01,434.64,447.52,460.65,474.02,487.62,501.44,515.46,529.67,544.04,558.55,573.19,587.91,602.71,617.55,632.4,647.23,662.02,676.73,691.33,705.79,720.09,734.18,748.04,761.66,775,788.05,800.78,813.2,825.29,837.06,848.52,859.71,870.67,881.49,892.29,903.28,914.77,927.27,941.64,959.35,983,1000,1000,1000,1000,1000,1000,1000
144.41,149.18,154.11,159.21,164.44,169.8,175.31,180.97,186.91,193.05,199.39,205.94,212.69,219.67,226.86,234.26,241.87,249.68,257.71,265.98,274.5,283.25,292.27,301.56,311.11,320.94,331.05,341.43,352.09,363.04,374.28,385.79,397.59,409.67,422.01,434.63,447.52,460.65,474.02,487.62,501.44,515.47,529.67,544.04,558.55,573.19,587.91,602.71,617.55,632.4,647.23,662.02,676.73,691.33,705.8,720.09,734.18,748.04,761.66,775,788.05,800.78,813.2,825.29,837.06,848.52,859.71,870.67,881.49,892.29,903.28,914.77,927.27,941.64,959.35,983,1000,1000,1000,1000,1000,1000,1000,1000
149.18,154.11,159.21,164.44,169.8,175.31,180.98,186.91,193.05,199.39,205.94,212.69,219.67,226.86,234.26,241.87,249.68,257.71,265.98,274.49,283.25,292.27,301.56,311.11,320.94,331.05,341.43,352.09,363.04,374.28,385.79,397.59,409.66,422.01,434.63,447.52,460.65,474.02,487.62,501.44,515.47,529.67,544.04,558.55,573.18,587.91,602.71,617.55,632.4,647.23,662.02,676.73,691.33,705.8,720.09,734.18,748.04,761.66,775,788.05,800.78,813.2,825.29,837.06,848.52,859.71,870.67,881.49,892.29,903.28,914.76,927.27,941.64,959.35,983,1000,1000,1000,1000,1000,1000,1000,1000,1000
154.11,159.21,164.44,169.8,175.31,180.97,186.91,193.05,199.39,205.94,212.69,219.67,226.86,234.26,241.87,249.68,257.71,265.98,274.49,283.25,292.27,301.56,311.11,320.94,331.05,341.43,352.1,363.04,374.28,385.79,397.59,409.66,422.01,434.63,447.52,460.65,474.02,487.62,501.44,515.46,529.67,544.04,558.55,573.19,587.91,602.71,617.55,632.4,647.23,662.02,676.73,691.33,705.79,720.09,734.18,748.04,761.66,775,788.05,800.78,813.2,825.29,837.06,848.52,859.71,870.67,881.49,892.29,903.28,914.76,927.27,941.64,959.35,983,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
159.21,164.44,169.8,175.31,180.97,186.91,193.05,199.39,205.94,212.69,219.67,226.86,234.26,241.87,249.68,257.71,265.98,274.5,283.25,292.27,301.56,311.11,320.94,331.05,341.43,352.1,363.04,374.28,385.79,397.59,409.67,422.01,434.63,447.52,460.65,474.02,487.62,501.44,515.47,529.67,544.04,558.55,573.19,587.91,602.71,617.55,632.4,647.24,662.02,676.73,691.33,705.79,720.09,734.18,748.04,761.66,775,788.05,800.78,813.2,825.29,837.06,848.52,859.71,870.67,881.49,892.29,903.28,914.77,927.27,941.64,959.35,983,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
164.44,169.8,175.31,180.98,186.91,193.05,199.39,205.94,212.69,219.67,226.86,234.26,241.87,249.68,257.71,265.98,274.49,283.25,292.27,301.56,311.11,320.94,331.05,341.43,352.1,363.04,374.28,385.79,397.59,409.66,422.02,434.63,447.52,460.65,474.02,487.62,501.44,515.47,529.67,544.04,558.55,573.19,587.91,602.71,617.55,632.4,647.24,662.02,676.73,691.33,705.79,720.09,734.18,748.04,761.66,775,788.05,800.78,813.2,825.29,837.06,848.52,859.71,870.67,881.49,892.29,903.28,914.77,927.27,941.64,959.35,983,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
169.8,175.31,180.97,186.91,193.05,199.39,205.94,212.69,219.67,226.86,234.26,241.87,249.68,257.71,265.98,274.5,283.25,292.27,301.56,311.11,320.94,331.05,341.43,352.1,363.04,374.28,385.79,397.59,409.66,422.01,434.64,447.52,460.65,474.02,487.62,501.44,515.47,529.67,544.04,558.55,573.19,587.91,602.71,617.55,632.4,647.23,662.02,676.73,691.33,705.8,720.09,734.18,748.04,761.66,775,788.05,800.78,813.2,825.29,837.06,848.52,859.71,870.67,881.49,892.29,903.28,914.77,927.27,941.64,959.35,983,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
