11.03,11.66,12.21,12.71,13.18,13.64,14.1,14.58,15.07,15.56,16.07,16.61,17.16,17.77,18.43,19.13,19.92,20.71,21.53,22.36,23.24,24.14,25.07,26.02,27.01,28.04,29.11,30.21,31.37,32.56,33.81,35.1,36.43,37.82,39.27,40.78,42.35,44,45.71,47.51,49.39,51.35,53.4,55.54,57.77,60.1,62.52,65.04,67.65,70.36,73.19,76.12,79.15,82.3,85.55,88.92,92.4,95.99,99.69,103.5,107.42,111.44,115.57,119.79,124.11,128.52,133.02,137.6,142.25,146.96,151.74,156.58,161.47,166.41,171.41,176.46,181.59,186.8,192.13,197.64
14.64,15.43,16.13,16.76,17.36,17.96,18.57,19.2,19.84,20.5,21.18,21.9,22.65,23.47,24.35,25.27,26.3,27.33,28.39,29.49,30.63,31.82,33.05,34.3,35.61,36.96,38.37,39.81,41.32,42.88,44.51,46.2,47.95,49.77,51.67,53.66,55.73,57.88,60.13,62.49,64.94,67.51,70.19,72.98,75.88,78.92,82.06,85.33,88.71,92.23,95.88,99.66,103.57,107.62,111.8,116.11,120.57,125.14,129.86,134.7,139.67,144.76,149.97,155.29,160.71,166.24,171.85,177.55,183.33,189.18,195.1,201.07,207.09,213.17,219.32,225.53,231.84,238.27,244.89,251.79
18.78,19.75,20.6,21.38,22.14,22.89,23.67,24.48,25.3,26.15,27.04,27.97,28.96,30.02,31.13,32.29,33.59,34.89,36.24,37.63,39.1,40.61,42.17,43.77,45.43,47.16,48.93,50.76,52.66,54.64,56.71,58.86,61.09,63.4,65.82,68.34,70.97,73.7,76.55,79.54,82.65,85.89,89.28,92.8,96.45,100.27,104.21,108.32,112.56,116.96,121.52,126.23,131.11,136.14,141.32,146.66,152.16,157.8,163.6,169.54,175.62,181.83,188.18,194.63,201.2,207.88,214.65,221.51,228.44,235.44,242.5,249.62,256.79,264.03,271.33,278.74,286.27,293.99,302.01,310.49
23.47,24.62,25.64,26.59,27.53,28.47,29.43,30.44,31.47,32.55,33.68,34.87,36.11,37.43,38.79,40.21,41.84,43.45,45.12,46.86,48.67,50.56,52.49,54.48,56.54,58.67,60.86,63.12,65.46,67.92,70.48,73.14,75.9,78.77,81.76,84.89,88.14,91.52,95.05,98.73,102.57,106.56,110.73,115.05,119.54,124.21,129.04,134.05,139.23,144.6,150.14,155.86,161.77,167.85,174.11,180.53,187.14,193.91,200.84,207.93,215.16,222.53,230.05,237.67,245.41,253.26,261.19,269.2,277.29,285.43,293.64,301.89,310.2,318.59,327.07,335.68,344.49,353.61,363.21,373.56
28.72,30.07,31.28,32.43,33.57,34.72,35.89,37.13,38.41,39.74,41.15,42.62,44.14,45.73,47.37,49.08,51.09,53.04,55.08,57.21,59.41,61.7,64.05,66.48,68.97,71.55,74.2,76.93,79.78,82.76,85.87,89.1,92.46,95.94,99.58,103.37,107.32,111.42,115.68,120.13,124.77,129.59,134.6,139.8,145.19,150.8,156.59,162.58,168.76,175.16,181.76,188.55,195.55,202.74,210.12,217.69,225.45,233.38,241.49,249.75,258.16,266.71,275.4,284.2,293.1,302.11,311.18,320.33,329.54,338.8,348.11,357.48,366.9,376.42,386.07,395.92,406.1,416.78,428.25,440.98
34.55,36.12,37.56,38.93,40.29,41.67,43.08,44.59,46.15,47.78,49.48,51.25,53.06,54.94,56.89,58.93,61.39,63.73,66.18,68.73,71.36,74.1,76.91,79.8,82.77,85.84,89,92.26,95.67,99.23,102.95,106.81,110.83,114.99,119.34,123.85,128.56,133.44,138.51,143.8,149.31,155.02,160.95,167.1,173.47,180.07,186.88,193.92,201.17,208.66,216.37,224.28,232.42,240.77,249.32,258.06,267.01,276.12,285.41,294.86,304.45,314.17,324.02,333.97,344,354.12,364.29,374.53,384.81,395.13,405.49,415.9,426.39,437.01,447.84,459,470.67,483.19,497.04,513.04
40.99,42.82,44.5,46.11,47.72,49.36,51.06,52.87,54.75,56.7,58.72,60.79,62.91,65.11,67.41,69.9,72.8,75.57,78.47,81.47,84.59,87.82,91.13,94.52,98,101.6,105.33,109.19,113.21,117.41,121.81,126.36,131.09,136,141.12,146.43,151.96,157.7,163.65,169.85,176.29,182.96,189.89,197.06,204.47,212.14,220.04,228.19,236.57,245.21,254.09,263.18,272.52,282.07,291.83,301.78,311.94,322.26,332.76,343.4,354.18,365.08,376.08,387.16,398.31,409.53,420.79,432.09,443.41,454.76,466.16,477.62,489.2,500.98,513.09,525.75,539.27,554.19,571.37,592.26
48.09,50.19,52.13,54.01,55.9,57.84,59.86,62.02,64.24,66.52,68.86,71.27,73.72,76.29,79.07,82,85.37,88.62,91.99,95.51,99.14,102.89,106.74,110.67,114.72,118.93,123.28,127.78,132.48,137.38,142.5,147.81,153.34,159.05,165,171.19,177.61,184.27,191.17,198.34,205.79,213.5,221.49,229.74,238.25,247.06,256.11,265.44,275.01,284.85,294.94,305.27,315.84,326.62,337.62,348.82,360.21,371.76,383.47,395.31,407.27,419.33,431.47,443.67,455.91,468.21,480.51,492.84,505.18,517.55,529.97,542.5,555.23,568.28,581.89,596.39,612.33,630.64,652.81,681.45
55.86,58.25,60.49,62.67,64.88,67.16,69.55,72.06,74.64,77.27,79.95,82.71,85.55,88.63,91.86,95.27,99.15,102.91,106.82,110.88,115.06,119.38,123.79,128.33,133.01,137.87,142.9,148.11,153.54,159.21,165.13,171.26,177.62,184.21,191.07,198.18,205.57,213.22,221.13,229.36,237.88,246.69,255.8,265.2,274.88,284.88,295.14,305.7,316.51,327.6,338.95,350.54,362.37,374.42,386.69,399.13,411.77,424.54,437.46,450.49,463.61,476.81,490.07,503.36,516.66,529.99,543.31,556.64,569.98,583.36,596.83,610.48,624.46,638.99,654.44,671.38,690.76,714.16,744.26,785.83
64.33,67.05,69.61,72.14,74.71,77.38,80.14,83.03,85.97,88.96,92.02,95.19,98.56,102.12,105.84,109.76,114.2,118.51,122.99,127.63,132.41,137.32,142.36,147.56,152.92,158.49,164.27,170.24,176.47,182.97,189.74,196.75,204.03,211.56,219.39,227.5,235.91,244.62,253.62,262.96,272.62,282.59,292.88,303.49,314.4,325.65,337.17,349,361.09,373.47,386.11,398.99,412.11,425.44,438.98,452.68,466.55,480.54,494.65,508.84,523.1,537.41,551.75,566.08,580.41,594.74,609.04,623.34,637.66,652.06,666.63,681.52,696.96,713.34,731.24,751.66,776.22,807.7,851.03,915.21
