21.8,22.66,23.5,24.32,25.14,25.96,26.8,27.65,28.53,29.43,30.36,31.32,32.32,33.37,34.47,35.62,36.8,38.04,39.33,40.63,41.99,43.38,44.82,46.29,47.81,49.37,50.98,52.64,54.35,56.1,57.9,59.75,61.65,63.6,65.6,67.66,69.78,71.96,74.2,76.51,78.88,81.31,83.81,86.37,88.99,91.67,94.41,97.21,100.06,102.96,105.92,108.92,111.97,115.06,118.18,121.34,124.53,127.73,130.96,134.21,137.47,140.73,144,147.26,150.51,153.76,156.99,160.22,163.43,166.63,169.82,173.01,176.2,179.4,182.63,185.9,189.22,192.62,196.1,199.69,203.41,207.71
28.86,29.97,31.05,32.11,33.17,34.24,35.34,36.47,37.63,38.83,40.07,41.35,42.68,44.08,45.54,47.06,48.62,50.24,51.92,53.63,55.42,57.25,59.15,61.09,63.09,65.16,67.28,69.46,71.7,74,76.36,78.79,81.29,83.85,86.49,89.21,92,94.87,97.81,100.85,103.96,107.15,110.43,113.78,117.21,120.72,124.29,127.95,131.66,135.43,139.28,143.17,147.12,151.11,155.14,159.2,163.3,167.41,171.54,175.67,179.8,183.93,188.04,192.13,196.19,200.22,204.22,208.18,212.09,215.97,219.82,223.63,227.41,231.2,234.98,238.79,242.65,246.58,250.6,254.77,259.11,264.76
36.97,38.35,39.68,41.01,42.35,43.72,45.13,46.57,48.06,49.6,51.19,52.85,54.58,56.38,58.25,60.16,62.14,64.21,66.34,68.53,70.81,73.15,75.57,78.04,80.6,83.23,85.93,88.7,91.54,94.47,97.48,100.58,103.76,107.03,110.39,113.85,117.41,121.06,124.81,128.67,132.62,136.67,140.83,145.08,149.42,153.86,158.37,162.98,167.66,172.42,177.24,182.13,187.08,192.07,197.1,202.16,207.25,212.34,217.44,222.53,227.6,232.65,237.66,242.61,247.51,252.36,257.12,261.82,266.44,270.97,275.44,279.83,284.16,288.45,292.71,296.98,301.27,305.64,310.11,314.77,319.67,327.05
46.17,47.83,49.45,51.09,52.76,54.46,56.21,58.02,59.88,61.81,63.82,65.91,68.08,70.33,72.63,75,77.47,80.03,82.68,85.42,88.25,91.17,94.17,97.25,100.43,103.7,107.05,110.48,114.01,117.64,121.38,125.23,129.18,133.25,137.43,141.74,146.15,150.69,155.34,160.12,165.02,170.03,175.17,180.42,185.78,191.25,196.82,202.48,208.23,214.07,219.99,225.96,232.01,238.09,244.21,250.35,256.51,262.66,268.81,274.92,280.99,287,292.95,298.82,304.58,310.25,315.8,321.23,326.53,331.7,336.75,341.67,346.48,351.2,355.86,360.48,365.1,369.79,374.62,379.68,385.1,394.89
56.5,58.46,60.42,62.41,64.44,66.52,68.66,70.88,73.17,75.55,78.03,80.6,83.26,85.98,88.78,91.65,94.69,97.82,101.05,104.39,107.84,111.4,115.06,118.83,122.69,126.66,130.73,134.91,139.21,143.64,148.19,152.88,157.71,162.66,167.76,173,178.37,183.89,189.55,195.36,201.3,207.39,213.61,219.97,226.45,233.07,239.79,246.62,253.54,260.56,267.66,274.83,282.06,289.33,296.63,303.94,311.25,318.53,325.79,332.99,340.11,347.15,354.08,360.88,367.54,374.06,380.39,386.56,392.53,398.32,403.91,409.32,414.55,419.63,424.59,429.48,434.34,439.26,444.35,449.77,455.75,469.2
68,70.31,72.65,75.03,77.46,79.96,82.54,85.23,88.01,90.9,93.9,96.99,100.16,103.42,106.76,110.2,113.9,117.66,121.54,125.55,129.69,133.96,138.35,142.86,147.48,152.23,157.1,162.11,167.27,172.58,178.05,183.68,189.46,195.4,201.51,207.79,214.23,220.83,227.6,234.54,241.64,248.9,256.32,263.9,271.61,279.46,287.44,295.54,303.75,312.05,320.44,328.9,337.41,345.95,354.52,363.08,371.62,380.12,388.56,396.91,405.15,413.26,421.23,429.02,436.61,444,451.15,458.06,464.72,471.12,477.25,483.12,488.75,494.15,499.37,504.46,509.51,514.62,519.97,525.82,532.57,553.67
80.74,83.45,86.2,89.01,91.89,94.86,97.95,101.15,104.48,107.93,111.49,115.14,118.88,122.72,126.68,130.84,135.2,139.65,144.26,149.01,153.91,158.96,164.14,169.47,174.93,180.54,186.31,192.24,198.34,204.63,211.11,217.77,224.62,231.65,238.87,246.29,253.9,261.7,269.69,277.87,286.24,294.79,303.52,312.42,321.48,330.69,340.04,349.53,359.12,368.83,378.61,388.46,398.37,408.29,418.23,428.14,438.02,447.83,457.55,467.15,476.61,485.9,494.99,503.86,512.48,520.84,528.91,536.68,544.12,551.24,558.01,564.46,570.59,576.44,582.05,587.49,592.88,598.4,604.32,611.07,619.33,653.37
94.78,97.93,101.12,104.41,107.8,111.31,114.95,118.74,122.67,126.72,130.87,135.13,139.5,143.99,148.71,153.6,158.69,163.92,169.31,174.87,180.6,186.5,192.56,198.77,205.15,211.72,218.47,225.42,232.58,239.94,247.52,255.32,263.33,271.56,280,288.67,297.56,306.67,315.99,325.53,335.29,345.24,355.4,365.74,376.26,386.95,397.79,408.78,419.89,431.1,442.4,453.77,465.18,476.61,488.03,499.42,510.75,522,533.12,544.1,554.9,565.5,575.86,585.96,595.76,605.26,614.42,623.23,631.66,639.71,647.37,654.66,661.58,668.19,674.54,680.76,686.99,693.53,700.82,709.6,721.14,777.94
110.2,113.8,117.51,121.32,125.28,129.38,133.65,138.07,142.63,147.32,152.12,157.04,162.11,167.42,172.92,178.6,184.49,190.55,196.8,203.25,209.88,216.7,223.7,230.89,238.29,245.91,253.74,261.81,270.11,278.66,287.45,296.48,305.77,315.3,325.08,335.12,345.4,355.93,366.7,377.72,388.98,400.46,412.16,424.07,436.17,448.46,460.92,473.54,486.28,499.13,512.07,525.08,538.13,551.19,564.24,577.24,590.18,603,615.69,628.21,640.53,652.63,664.46,676.01,687.25,698.16,708.7,718.87,728.66,738.06,747.07,755.71,764.02,772.07,779.96,787.86,796.06,805.02,815.52,828.91,847.59,1000
127.04,131.16,135.41,139.83,144.41,149.18,154.11,159.21,164.44,169.8,175.31,180.98,186.91,193.05,199.39,205.94,212.69,219.67,226.86,234.26,241.87,249.68,257.71,265.98,274.49,283.25,292.27,301.56,311.11,320.94,331.05,341.43,352.09,363.04,374.28,385.79,397.59,409.67,422.01,434.63,447.52,460.65,474.02,487.62,501.44,515.46,529.67,544.04,558.55,573.19,587.91,602.71,617.55,632.4,647.24,662.02,676.73,691.33,705.8,720.09,734.18,748.04,761.66,775,788.05,800.78,813.2,825.29,837.06,848.52,859.71,870.67,881.49,892.29,903.28,914.76,927.27,941.64,959.35,983,1000,1000
131.16,135.41,139.83,144.41,149.18,154.11,159.21,164.44,169.8,175.31,180.98,186.91,193.05,199.39,205.94,212.69,219.67,226.86,234.26,241.87,249.68,257.71,265.98,274.49,283.25,292.27,301.56,311.11,320.94,331.05,341.43,352.09,363.04,374.28,385.79,397.59,409.67,422.01,434.63,447.52,460.65,474.02,487.62,501.44,515.46,529.67,544.04,558.56,573.19,587.91,602.71,617.55,632.4,647.23,662.02,676.73,691.33,705.79,720.09,734.18,748.04,761.66,775,788.05,800.78,813.2,825.29,837.06,848.52,859.71,870.67,881.49,892.29,903.28,914.76,927.27,941.64,959.35,983,1000,1000,1000
